HCPCS_CD,HCPCS_CD_DESC
0058A,"ADMINISTRATION OF CORONAVIRUS VACCINE 6, RESERVED"
0058T,FREEZING PRESERVATION OF REPRODUCTIVE OVARIAN TISSUE
0058U,MEASUREMENT OF ANTIBODIES TO MERKEL CELL POLYOMA VIRUS ONCOPROTEIN IN SERUM
0059A,"ADMINISTRATION OF CORONAVIRUS VACCINE 6, RESERVED"
0059T,FREEZING PRESERVATION OF REPRODUCTIVE EGGS
0059U,TEST FOR PRESENCE OF ANTIBODIES TO MERKEL CELL POLYOMA VIRUS ONCOPROTEIN IN SERUM
00600,ANESTHESIA FOR OTHER PROCEDURE ON UPPER SPINE
00604,ANESTHESIA FOR PROCEDURE ON UPPER SPINE WITH SITTING UP
0060A,"ADMINISTRATION OF CORONAVIRUS VACCINE 7, RESERVED"
0060U,GENE ANALYSIS FOR IDENTICAL TWINS IN MATERNAL BLOOD
0061A,"ADMINISTRATION OF CORONAVIRUS VACCINE 7, DOSE 1"
0061U,SPATIAL FREQUENCY DOMAIN IMAGING OF SKIN
00620,ANESTHESIA FOR OTHER PROCEDURE ON MIDDLE SPINE
00622,ANESTHESIA FOR REMOVAL OF NERVES IN MIDDLE SPINE
00625,ANESTHESIA FOR PROCEDURE ON MIDDLE SPINE THROUGH CHEST WALL
00626,ANESTHESIA FOR PROCEDURE ON MIDDLE SPINE THROUGH CHEST WALL WITH 1 LUNG INFLATED
0062A,"ADMINISTRATION OF CORONAVIRUS VACCINE 7, DOSE 2"
0062U,IGG AND IGM ANALYSIS OF 80 BIOMARKERS OF SYSTEMIC LUPUS ERYTHEMATOSUS IN SERUM
00630,ANESTHESIA FOR OTHER PROCEDURE ON LOWER SPINE
00632,ANESTHESIA FOR REMOVAL OF NERVES IN LOWER SPINE
00634,ANESTHESIA FOR PROCEDURE TO DISSOLVE DISK IN LOWER SPINE
00635,ANESTHESIA FOR SPINAL TAP
0063A,"ADMINISTRATION OF CORONAVIRUS VACCINE 7, BOOSTER"
0063U,TESTING FOR AMINES ASSOCIATED WITH AUTISM SPECTRUM DISORDER IN PLASMA
00640,ANESTHESIA FOR MANIPULATION OR CLOSED PROCEDURE OF SPINE
0064A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 50 MCG/0.25ML DOSAGE, BOOSTER DOSE"
0064U,ANTIBODY TESTING FOR SYPHILIS
0065A,"ADMINISTRATION OF CORONAVIRUS VACCINE 7, RESERVED"
0065U,NON-ANTIBODY TESTING FOR SYPHILIS
0066A,"ADMINISTRATION OF CORONAVIRUS VACCINE 7, RESERVED"
0066U,MEASUREMENT OF PLACENTAL ALPHA-MICRO GLOBULIN-1 (PAMG-1) IN CERVICAL/VAGINAL FLUID TO EVALUATE RISK OF PREMATURE RUPTURE OF MEMBRANES
00670,ANESTHESIA FOR EXTENSIVE SURGERY ON SPINE
0067A,"ADMINISTRATION OF CORONAVIRUS VACCINE 7, RESERVED"
0067U,PROTEIN EXPRESSION PROFILING OF 4 BIOMARKERS OF BREAST CANCER IN PRECANCEROUS BREAST TISSUE
0068A,"ADMINISTRATION OF CORONAVIRUS VACCINE 7, RESERVED"
0068U,DETECTION OF CANDIDA SPECIES BY AMPLIFIED PROBE
0069A,"ADMINISTRATION OF CORONAVIRUS VACCINE 7, RESERVED"
0069U,MRNA EXPRESSION PROFILING OF MIR-31-3 IN COLON TUMOR TISSUE
00700,ANESTHESIA FOR OTHER PROCEDURE ON UPPER FRONT ABDOMEN
00702,ANESTHESIA FOR BIOPSY OF LIVER
0070A,"ADMINISTRATION OF CORONAVIRUS VACCINE 8, RESERVED"
0070U,"GENE ANALYSIS (CYTOCHROME P450, FAMILY 2, SUBFAMILY D, POLYPEPTIDE 6) FOR COMMON AND SELECT RARE VARIANTS"
0071A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 10 MCG/0.2ML DOSAGE, DILUENT RECONSTITUTED, TRIS-SUCROSE FORMULATION; FIRST DOSE"
0071T,FOCUSED ULTRASOUND DESTRUCTION OF UTERINE (LESS THAN 200 CC) FIBROID TUMORS USING MR GUIDANCE
0071U,"GENE ANALYSIS (CYTOCHROME P450, FAMILY 2, SUBFAMILY D, POLYPEPTIDE 6) FULL SEQUENCE ANALYSIS"
0072A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 10 MCG/0.2ML DOSAGE, DILUENT RECONSTITUTED, TRIS-SUCROSE FORMULATION; SECOND DOSE"
0072T,FOCUSED ULTRASOUND DESTRUCTION OF UTERINE (200 CC OR GREATER) FIBROID TUMORS USING MR GUIDANCE
0072U,"GENE ANALYSIS (CYTOCHROME P450, FAMILY 2, SUBFAMILY D, POLYPEPTIDE 6) TARGETED SEQUENCE ANALYSIS FOR CYP2D6-2D7 HYBRID GENE"
00730,ANESTHESIA FOR PROCEDURE ON UPPER REAR ABDOMEN
00731,"ANESTHESIA FOR OTHER PROCEDURE ON ESOPHAGUS, STOMACH, OR UPPER SMALL BOWEL USING AN ENDOSCOPE"
00732,"ANESTHESIA FOR PROCEDURE ON GALLBLADDER, PANCREAS, OR LIVER USING AN ENDOSCOPE"
0073A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 10 MCG/0.2ML DOSAGE, DILUENT RECONSTITUTED, TRIS-SUCROSE FORMULATION; THIRD DOSE"
0073T,COMPENSATOR-BASED BEAM MODULATION RADIATION TREATMENT DELIVERY PER SESSION
0073U,"GENE ANALYSIS (CYTOCHROME P450, FAMILY 2, SUBFAMILY D, POLYPEPTIDE 6) TARGETED SEQUENCE ANALYSIS FOR CYP2D6-2D6 HYBRID GENE"
00740,ANESTHESIA FOR PROCEDURE ON GASTROINTESTINAL TRACT USING AN ENDOSCOPE
0074A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 10 MCG/0.2ML DOSAGE, DILUENT RECONSTITUTED, TRIS-SUCROSE FORMULATION; BOOSTER DOSE"
0074U,"GENE ANALYSIS (CYTOCHROME P450, FAMILY 2, SUBFAMILY D, POLYPEPTIDE 6) TARGETED SEQUENCE ANALYSIS FOR NON-DUPLICATED GENE WHEN DUPLICATION/MULTIPLICATION IS TRANS"
00750,ANESTHESIA FOR OTHER REPAIR OF UPPER ABDOMEN HERNIA
00752,ANESTHESIA FOR PROCEDURE TO REPAIR UPPER ABDOMINAL INCISIONAL HERNIA AND/OR WOUND OPENING
00754,ANESTHESIA FOR PROCEDURE TO REPAIR UPPER ABDOMINAL HERNIA PRESENT AT BIRTH
00756,ANESTHESIA FOR PROCEDURE TO REPAIR ABDOMINAL HERNIA
0075A,"ADMINISTRATION OF CORONAVIRUS VACCINE 8, RESERVED"
0075T,"INSERTION OF STENTS INTO VERTEBRAL ARTERY VIA CATHETER, OPEN OR ACCESSED THROUGH THE SKIN INCLUDING RADIOLOGIC SUPERVISION AND INTERPRETATION, INITIAL VESSEL"
0075U,"GENE ANALYSIS (CYTOCHROME P450, FAMILY 2, SUBFAMILY D, POLYPEPTIDE 6) TARGETED SEQUENCE ANALYSIS FOR 5 GENE DUPLICATION/MULTIPLICATION"
0076A,"ADMINISTRATION OF CORONAVIRUS VACCINE 8, RESERVED"
0076T,"INSERTION OF STENTS INTO VERTEBRAL ARTERY VIA CATHETER, OPEN OR ACCESSED THROUGH THE SKIN INCLUDING RADIOLOGIC SUPERVISION AND INTERPRETATION, EACH ADDITIONAL VESSEL"
0076U,"GENE ANALYSIS (CYTOCHROME P450, FAMILY 2, SUBFAMILY D, POLYPEPTIDE 6) TARGETED SEQUENCE ANALYSIS FOR 3 GENE DUPLICATION/MULTIPLICATION"
00770,ANESTHESIA FOR PROCEDURE ON LARGE BLOOD VESSELS IN ABDOMEN
0077A,"ADMINISTRATION OF CORONAVIRUS VACCINE 8, RESERVED"
0077U,DETECTION OF IMMUNOGLOBULIN PARAPROTEIN (M-PROTEIN) IN BLOOD OR URINE
0078A,"ADMINISTRATION OF CORONAVIRUS VACCINE 8, RESERVED"
0078U,GENE ANALYSIS OF 16 GENES TO EVALUATE RISK OF OPIOID-USE DISORDER
00790,ANESTHESIA FOR OTHER PROCEDURE ON UPPER ABDOMEN
00792,ANESTHESIA FOR PARTIAL REMOVAL OF LIVER OR MANAGEMENT OF BLEEDING INCLUDING USE OF AN ENDOSCOPE
00794,ANESTHESIA FOR REMOVAL OF PANCREAS INCLUDING USE OF AN ENDOSCOPE
00796,ANESTHESIA FOR LIVER TRANSPLANT RECIPIENT INCLUDING USE OF AN ENDOSCOPE
00797,ANESTHESIA FOR PROCEDURE ON STOMACH FOR WEIGHT LOSS
0079A,"ADMINISTRATION OF CORONAVIRUS VACCINE 8, RESERVED"
0079U,DNA ANALYSIS OF URINE AND CHEEK SWABS FOR SPECIMEN IDENTITY VERIFICATION
00800,ANESTHESIA FOR OTHER PROCEDURE ON LOWER FRONT ABDOMEN
00802,ANESTHESIA FOR REMOVAL OF EXCESS TISSUE OF LOWER REAR ABDOMEN
0080A,"ADMINISTRATION OF CORONAVIRUS VACCINE 9, RESERVED"
0080U,"ANALYSIS OF GALECTIN-3-BINDING PROTEIN AND SCAVENGER RECEPTOR CYSTEINE-RICH TYPE 1 PROTEIN M130 IN PLASMA, WITH CLINICAL RISK FACTORS, TO EVALUATE PROBABILITY OF LUNG CANCER"
00810,ANESTHESIA FOR PROCEDURE ON LOWER INTESTINE USING AN ENDOSCOPE
00811,ANESTHESIA FOR OTHER PROCEDURE ON LARGE BOWEL USING AN ENDOSCOPE
00812,ANESTHESIA FOR EXAM OF COLON USING AN ENDOSCOPE
00813,ANESTHESIA FOR PROCEDURE ON SMALL AND LARGE BOWEL USING AN ENDOSCOPE
0081A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 3 MCG/0.2ML DOSAGE, DILUENT RECONSTITUTED, TRIS-SUCROSE FORMULATION; FIRST DOSE"
0081U,"ONCOLOGY (UVEAL MELANOMA), MRNA, GENE-EXPRESSION PROFILING BY REAL-TIME RT-PCR OF 15 GENES (12 CONTENT AND 3 HOUSEKEEPING GENES), UTILIZING FINE NEEDLE ASPIRATE OR FORMALIN-FIXED PARAFFIN-EMBEDDED TISSUE, ALGORITHM REPORTED AS RISK OF METASTASIS"
00820,ANESTHESIA FOR PROCEDURE ON LOWER REAR ABDOMEN
0082A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 3 MCG/0.2ML DOSAGE, DILUENT RECONSTITUTED, TRIS-SUCROSE FORMULATION; SECOND DOSE"
0082U,DEFINITIVE DRUG TESTING FOR 90 OR MORE DRUGS IN URINE
00830,ANESTHESIA FOR OTHER REPAIR OF LOWER ABDOMEN HERNIA (1 YEAR OR OLDER)
00832,ANESTHESIA FOR REPAIR OF ABDOMINAL WALL HERNIA
00834,ANESTHESIA FOR OTHER REPAIR OF LOWER ABDOMEN HERNIA (YOUNGER THAN 1 YEAR)
00836,ANESTHESIA FOR REPAIR OF LOWER ABDOMEN HERNIA (INFANT YOUNGER THAN 37 WEEKS AT BIRTH AND YOUNGER THAN 50 WEEKS OF AGE AT TIME OF SURGERY)
0083A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 3 MCG/0.2 ML DOSAGE, THIRD DOSE (6 MONTHS THROUGH 4 YEARS)"
0083U,EVALUATION OF RESPONSE TO CHEMOTHERAPY DRUGS USING MOTILITY CONTRAST TOMOGRAPHY OF FRESH OR FROZEN TISSUE
00840,ANESTHESIA FOR OTHER PROCEDURE ON LOWER ABDOMEN
00842,ANESTHESIA FOR REMOVAL OF AMNIOTIC FLUID FROM UTERUS
00844,ANESTHESIA FOR PROCEDURE ON LARGE BOWEL
00846,ANESTHESIA FOR REMOVAL OF UTERUS INCLUDING USE OF AN ENDOSCOPE
00848,ANESTHESIA FOR REMOVAL OF PELVIC ORGANS INCLUDING USE OF AN ENDOSCOPE
0084A,"ADMINISTRATION OF CORONAVIRUS VACCINE 9, RESERVED"
0084U,DNA RED BLOOD CELL ANTIGEN TYPING
00851,ANESTHESIA FOR TYING OR INCISION OF FALLOPIAN TUBES USING AN ENDOSCOPE
0085A,"ADMINISTRATION OF CORONAVIRUS VACCINE 9, RESERVED"
0085T,BREATH TEST FOR HEART TRANSPLANT REJECTION
0085U,EVALUATION OF BIOMARKER ANTIBODIES FOR INFLAMMATORY BOWEL DISEASE
00860,ANESTHESIA FOR OTHER PROCEDURE ON LOWER ABDOMEN OUTSIDE ABDOMINAL CAVITY
00862,ANESTHESIA FOR PROCEDURE ON UPPER URINARY TUBES OR REMOVAL OF KIDNEY FOR TRANSPLANT
00864,ANESTHESIA FOR TOTAL REMOVAL OF BLADDER
00865,ANESTHESIA FOR EXTENSIVE REMOVAL OF PROSTATE
00866,ANESTHESIA FOR REMOVAL OF ADRENAL GLAND
00868,ANESTHESIA FOR KIDNEY TRANSPLANT
0086A,"ADMINISTRATION OF CORONAVIRUS VACCINE 9, RESERVED"
0086U,FISH IDENTIFICATION OF ORGANISMS IN BLOOD CULTURE
00870,ANESTHESIA FOR REMOVAL OF URINARY BLADDER STONE
00872,ANESTHESIA FOR SHOCK WAVE THERAPY FOR URINARY SYSTEM STONES WITH WATER BATH
00873,ANESTHESIA FOR SHOCK WAVE THERAPY FOR URINARY SYSTEM STONES WITHOUT WATER BATH
0087A,"ADMINISTRATION OF CORONAVIRUS VACCINE 9, RESERVED"
0087U,MRNA GENE EXPRESSION PROFILING OF GENES IN HEART TRANSPLANT BIOPSY TISSUE TO EVALUATE RISK OF REJECTION
00880,ANESTHESIA FOR OTHER PROCEDURE ON LARGE BLOOD VESSEL OF LOWER ABDOMEN
00882,ANESTHESIA FOR TYING OF LARGE VEIN OF LOWER ABDOMEN
0088A,"ADMINISTRATION OF CORONAVIRUS VACCINE 9, RESERVED"
0088U,MRNA GENE EXPRESSION PROFILING OF GENES IN KIDNEY TRANSPLANT TISSUE TO EVALUATE RISK OF REJECTION
0089A,"ADMINISTRATION OF CORONAVIRUS VACCINE 9, RESERVED"
0089U,GENE EXPRESSION PROFILING OF MELANOMA IN SUPERFICIAL SAMPLE COLLECTED BY ADHESIVE PATCH
00902,ANESTHESIA FOR PROCEDURE ON ANUS AND RECTUM
00904,ANESTHESIA FOR EXTENSIVE PROCEDURE ON PERINEUM
00906,ANESTHESIA FOR REMOVAL OF EXTERNAL FEMALE GENITALS
00908,ANESTHESIA FOR REMOVAL OF PROSTATE
0090A,"ADMINISTRATION OF CORONAVIRUS VACCINE 10, RESERVED"
0090U,MRNA GENE EXPRESSION PROFILING OF 23 GENES IN SKIN MELANOMA TISSUE SAMPLE
00910,ANESTHESIA FOR OTHER PROCEDURE ON URINARY SYSTEM THROUGH URETHRA
00912,ANESTHESIA FOR REMOVAL OF URINARY BLADDER TUMORS INCLUDING USE OF AN ENDOSCOPE
00914,ANESTHESIA FOR REMOVAL OF PROSTATE INCLUDING USE OF AN ENDOSCOPE
00916,ANESTHESIA FOR PROCEDURE TO CONTROL URINARY SYSTEM BLEEDING INCLUDING USE OF AN ENDOSCOPE
00918,"ANESTHESIA FOR FRAGMENTING, MANIPULATION AND/OR REMOVAL OF KIDNEY STONE INCLUDING USE OF AN ENDOSCOPE"
0091A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 50 MCG/0.5 ML DOSAGE, FIRST DOSE (6-11 YEARS OLD)"
0091U,COLORECTAL CANCER SCREENING BY ENUMERATION OF TUMOR CELLS IN BLOOD
00920,ANESTHESIA FOR OTHER PROCEDURE ON MALE GENITALS
00921,ANESTHESIA FOR VASECTOMY
00922,ANESTHESIA FOR PROCEDURE ON MALE GENITAL GLANDS
00924,ANESTHESIA FOR PROCEDURE ON UNDESCENDED TESTICLE
00926,ANESTHESIA FOR REMOVAL OF TESTICLE THROUGH GROIN
00928,ANESTHESIA FOR REMOVAL OF TESTICLE THROUGH INCISION IN ABDOMEN
0092A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 50 MCG/0.5 ML DOSAGE, SECOND DOSE (6-11 YEARS OLD)"
0092T,INSERTION OF UPPER SPINE ARTIFICIAL DISC WITH DECOMPRESSION OF NERVE ROOTS
0092U,MEASUREMENT OF 3 PROTEIN BIOMARKERS FOR LUNG CANCER IN PLASMA
00930,ANESTHESIA FOR RELOCATION OF UNDESCENDED TESTICLE INTO SCROTUM
00932,ANESTHESIA FOR COMPLETE AMPUTATION OF PENIS
00934,ANESTHESIA FOR AMPUTATION OF PENIS AND REMOVAL OF LYMPH NODES OF GROIN
00936,ANESTHESIA FOR AMPUTATION OF PENIS AND REMOVAL OF LYMPH NODES ON BOTH SIDES OF GROIN AND PELVIS (INGUINAL AND ILIAC NODES)
00938,ANESTHESIA FOR INSERTION OF PENILE PROSTHESIS
0093A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 50 MCG/0.5 ML DOSAGE, THIRD DOSE (6-11 YEARS OLD)"
0093U,PRESCRIPTION DRUG MONITORING FOR 65 COMMON DRUGS IN URINE
00940,ANESTHESIA FOR OTHER PROCEDURE ON FEMALE GENITALS
00942,ANESTHESIA FOR REPAIR OR REMOVAL OF VAGINA AND URINARY PROCEDURE
00944,ANESTHESIA FOR VAGINAL REMOVAL OF UTERUS
00948,ANESTHESIA FOR SUTURE CLOSURE OF CERVIX
0094A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 50 MCG/0.5 ML DOSAGE, BOOSTER DOSE (18 YEARS AND OLDER)"
0094U,RAPID SEQUENCE GENE TESTING
00950,ANESTHESIA FOR EXAM OF CERVIX USING AN ENDOSCOPE
00952,ANESTHESIA FOR EXAM OF UTERUS USING AN ENDOSCOPE
0095A,"ADMINISTRATION OF CORONAVIRUS VACCINE 10, RESERVED"
0095T,REMOVAL OF UPPER SPINE ARTIFICIAL DISC
0095U,TEST FOR MARKERS OF EOSINOPHILIC INFLAMMATION OF ESOPHAGUS
0096A,"ADMINISTRATION OF CORONAVIRUS VACCINE 10, RESERVED"
0096U,TEST FOR DETECTION OF HIGH-RISK HUMAN PAPILLOMAVIRUS IN MALE URINE
0097A,"ADMINISTRATION OF CORONAVIRUS VACCINE 10, RESERVED"
0097U,TEST FOR DETECTION OF GASTROINTESTINAL DISEASE-CAUSING ORGANISM USING AMPLIFIED PROBE
0098A,"ADMINISTRATION OF CORONAVIRUS VACCINE 10, RESERVED"
0098T,REVISION AND REPLACEMENT OF AN UPPER SPINE ARTIFICIAL DISC
0098U,"TEST FOR DETECTION OF RESPIRATORY DISEASE-CAUSING ORGANISM USING AMPLIFIED PROBE, 14 TARGET ORGANISMS"
0099A,"ADMINISTRATION OF CORONAVIRUS VACCINE 10, RESERVED"
0099T,IMPLANTATION OF CORNEAL RING SEGMENTS
0099U,"TEST FOR DETECTION OF RESPIRATORY DISEASE-CAUSING ORGANISM USING AMPLIFIED PROBE, 20 TARGET ORGANISMS (ADENOVIRUS, CORONAVIRUS 229E, CORONAVIRUS HKU1, CORONAVIRUS, CORONAVIRUS OC43, HUMAN METAPNEUMOVIRUS, INFLUENZA A, INFLUENZA A SUBTYPE, INFLUENZA A SUBTYPE H3, INFLUENZA A SUBTYPE H1-2009, INFLUENZA, PARAINFLUENZA VIRUS, PARAINFLUENZA VIRUS 2, PARAINFLUENZA VIRUS 3, PARAINFLUENZA VIRUS 4, HUMAN RHINOVIRUS/ENTEROVIRUS, RESPIRATORY SYNCYTIAL VIRUS, BORDETELLA PERTUSSIS, CHLAMYDOPHILA PNEUMONIA, MYCOPLASMA PNEUMONIAE)"
0100A,"ADMINISTRATION OF CORONAVIRUS VACCINE 11, RESERVED"
0100T,INSERTION OF RETINAL PROSTHESIS RECEIVER PULSE GENERATOR AND RETINAL ELECTRODE ARRAY
0100U,"TEST FOR DETECTION OF RESPIRATORY DISEASE-CAUSING ORGANISM USING AMPLIFIED PROBE, 20 TARGET ORGANISMS (ADENOVIRUS, CORONAVIRUS 229E, CORONAVIRUS HKU1, CORONAVIRUS NL63, CORONAVIRUS OC43, HUMAN METAPNEUMOVIRUS, HUMAN RHINOVIRUS/ENTEROVIRUS, INFLUENZA A, INCLUDING SUBTYPES H1, H1-2009, AND H3, INFLUENZA B, PARAINFLUENZA VIRUS 1, PARAINFLUENZA VIRUS 2, PARAINFLUENZA VIRUS 3, PARAINFLUENZA VIRUS 4, RESPIRATORY SYNCYTIAL VIRUS, BORDETELLA PARAPERTUSSIS [IS1001], BORDETELLA PERTUSSIS [PTXP], CHLAMYDIA PNEUMONIAE, MYCOPLASMA PNEUMONIAE)"
0101A,"ADMINISTRATION OF CORONAVIRUS VACCINE 11, DOSE 1"
0101T,HIGH ENERGY SHOCK WAVE THERAPY OF MUSCULOSKELETAL SYSTEM
0101U,GENE SEQUENCE ANALYSIS PANEL OF 15 GENES ASSOCIATED WITH HEREDITARY COLON CANCER AND RELATED DISORDERS
0102A,"ADMINISTRATION OF CORONAVIRUS VACCINE 11, DOSE 2"
0102T,HIGH ENERGY SHOCK WAVE THERAPY OF OUTER SIDE OF LOWER END OF UPPER ARM BONE (LATERAL EPICONDYLE OF HUMERUS) UNDER ANESTHESIA
0102U,GENE SEQUENCE ANALYSIS PANEL OF 17 GENES ASSOCIATED WITH HEREDITARY BREAST CANCER AND RELATED DISORDERS
0103A,"ADMINISTRATION OF CORONAVIRUS VACCINE 11, BOOSTER"
0103T,MEASUREMENT OF VITAMIN B-12 DEFICIENCY MARKER
0103U,GENE SEQUENCE ANALYSIS PANEL OF 24 GENES ASSOCIATED WITH HEREDITARY OVARIAN CANCER AND RELATED DISORDERS
0104A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MONOVALENT, PRESERVATIVE FREE, 5 MCG/0.5 ML DOSAGE, ADJUVANT AS03 EMULSION, BOOSTER DOSE"
0104U,"HEREDITARY PAN CANCER (EG, HEREDITARY BREAST AND OVARIAN CANCER, HEREDITARY ENDOMETRIAL CANCER, HEREDITARY COLORECTAL CANCER), GENOMIC SEQUENCE ANALYSIS PANEL UTILIZING A COMBINATION OF NGS, SANGER, MLPA, AND ARRAY CGH, WITH MRNA ANALYTICS TO RESOLVE VARIANTS OF UNKNOWN SIGNIFICANCE WHEN INDICATED (32 GENES [SEQUENCING AND DELETION/DUPLICATION], EPCAM AND GREM1 [DELETION/DUPLICATION ONLY])"
0105A,"ADMINISTRATION OF CORONAVIRUS VACCINE 11, RESERVED"
0105U,"MEASUREMENT OF TUMOR NECROSIS FACTOR RECEPTOR 1A, RECEPTOR SUPERFAMILY 2 (TNFR1, TNFR2), AND KIDNEY INJURY MOLECULE-1 (KIM-1) IN PLASMA TO EVALUATE RISK OF RAPID KIDNEY FUNCTION DECLINE"
0106A,"ADMINISTRATION OF CORONAVIRUS VACCINE 11, RESERVED"
0106T,MEASUREMENT OF SENSORY IMPAIRMENT OF ARM OR LEG USING TOUCH PRESSURE
0106U,EVALUATION OF GASTRIC EMPTYING BY MEASUREMENT OF RADIOLABELED CARBON DIOXIDE IN BREATH SPECIMENS
0107A,"ADMINISTRATION OF CORONAVIRUS VACCINE 11, RESERVED"
0107T,MEASUREMENT OF SENSORY IMPAIRMENT OF ARM OR LEG USING VIBRATION
0107U,ANTIGEN TEST FOR DETECTION OF CLOSTRIDIUM DIFFICILE TOXIN IN STOOL
0108A,"ADMINISTRATION OF CORONAVIRUS VACCINE 11, RESERVED"
0108T,MEASUREMENT OF SENSORY IMPAIRMENT OF ARM OR LEG USING COOLING
0108U,COMPUTER-ASSISTED DIGITAL IMAGING OF ESOPHAGUS SPECIMEN SLIDES TO EVALUATE RISK OF CANCER
0109A,"ADMINISTRATION OF CORONAVIRUS VACCINE 11, RESERVED"
0109T,MEASUREMENT OF SENSORY IMPAIRMENT OF ARM OR LEG USING HEAT
0109U,DNA TEST FOR DETECTION OF 4 ASPERGILLUS SPECIES
0110A,"ADMINISTRATION OF CORONAVIRUS VACCINE 12, RESERVED"
0110T,MEASUREMENT OF SENSORY IMPAIRMENT OF ARM OR LEG
0110U,"MONITORING OF ANTI-CANCER DRUGS IN PATIENT BLOOD, SERUM, OR PLASMA"
01112,ANESTHESIA FOR BONE MARROW ASPIRATION AND/OR BIOPSY AT PELVIC BONE
0111A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 25 MCG/0.25 ML DOSAGE; FIRST DOSE"
0111T,MEASUREMENT OF LONG-CHAIN OMEGA FATTY ACIDS IN RED BLOOD CELL (RBC) MEMBRANES
0111U,GENE ANALYSIS (KRAS AND NRAS) IN PROSTATE TUMOR TISSUE
01120,ANESTHESIA FOR PROCEDURE ON HIP BONE
0112A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 25 MCG/0.25 ML DOSAGE; SECOND DOSE"
0112U,GENE ANALYSIS FOR DETECTION OF INFECTIOUS AGENT AND DRUG RESISTANCE GENE
01130,ANESTHESIA FOR APPLICATION OR REVISION OF BODY CAST
0113A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 25 MCG/0.25 ML DOSAGE, THIRD DOSE"
0113U,MEASUREMENT OF PCA3 GENE IN URINE AND PROSTATE-SPECIFIC ANTIGEN (PSA) IN SERUM TO EVALUATE RISK OF PROSTATE CANCER
01140,ANESTHESIA FOR AMPUTATION OF LEG INCLUDING PELVIC BONE
0114A,"ADMINISTRATION OF CORONAVIRUS VACCINE 12, RESERVED"
